annotation_id;source_json;caption;Maschine_Label;manual_plot;manual_photo;manual_diagram;unclear;notes;manual_label
1;10.1101_2025.03.24.645017.json;Figure S5: Modeling germline-somatic interactions between MSI2 and ASXL1-CHIP in HSCs.;;1;;1;;;Plot+Diagram
2;10.1101_2025.06.02.657382.json;Figure 7. Sustained Ca²⁺ bursts in high-mobility myeloid cells. Acute brain slices were prepared from non-infected Cx3cr1/EGFP mice and from SSLOW-infected Cx3cr1/EGFP mice at the advanced stage of disease. a Quantification of signal intensity of Ca²⁺ puncta within high- or low-mobility EGFP⁺ cells. Data from normal, non-infected mice are shown for reference. Sustained Ca²⁺ bursts were detected using Calbryte-590 AM and averaged per cell over a 3-hour period. N = 24-28 cells per group. *p < 0.05, **p < 0.01, ns = not significant by non-parametric Kruskal-Wallis test with Dunn's multiple comparisons. b Changes in Ca²⁺ signal intensity in individual EGFP⁺ cells over the 3-hour imaging session. Images were acquired at 5-minute intervals. c Time-lapse imaging of acute brain slice from a SSLOW-infected Cx3cr1/EGFP mouse recorded over 3 hours. Upper panels (Video S19): EGFP⁺ cell (#1) envelops a neuronal soma and exhibits low Ca²⁺ activity. Lower panels: highly mobile EGFP⁺ cell (#2) displays sustained somatic Ca²⁺ bursts. Scale bars = 50 μm.;;1;;1;;;Plot+Diagram
3;10.1101_2024.04.02.587830.json;Figure 4. Malate-induced stomatal closure is mediated by anion channels and Ca 2+ .;;;;1;;;Diagram
4;10.1101_2025.03.18.643876.json;"Figure 9 . Workflow for characterizing the microbiome (16S rRNA sequencing; DNAbased) and microbiota (meta-transcriptomics; RNA-based) in vaginal swabs, endometrial brushes, and endometrial biopsies. Taxonomy was assigned using the Kraken2/Braken methodology, and in silico decontamination was performed with the Decontam R package. Characterization included abundance, diversity, and correlation between techniques. The study cohort consisted of 44 reproductive-age women. In the validation cohort (N=5), a dual approach (DNA- and RNA-based) was applied to all three sample types. Additional validation analyses for endometrial biopsies were performed using realtime PCR (qPCR) and microbial culture.";;;1;1;;;Diagram+Photo
5;10.1101_2025.04.22.650000.json;Figure 3. Accumulation of pulses to induce collective pacemaker activity. In vitro monolayers of optogenetically modified NRVMs show that the transition from the stationary state (STA) towards the oscillatory state (OSC) is dependent on the number of excitatory waves passing through an illuminated area at a constant electrical pacing frequency of 600 𝑚𝑠 . (A) Two pulses are not enough to induce the transition. (B) Four pulses are sufficient to induce the transition.;;1;;1;;;Plot+Diagram
6;10.1101_2025.08.01.668053.json;"Fig.5 | Growth in SimUrine.v2 and hemin supplemented versions . Cultures of E. coli (UBM3190) (A) and S. anginosus (UMB8616) (B) in SimUrine.v2 (solid lines) and SimUrine.v.2 supplemented with hemin 1X (dotted lines) and hemin 10X (dashed lines). Optical density at 600 nm (OD600) is shown on the y-axes; time (hours) on the x-axes. Lines represent mean values and shading standard error of the mean.";;1;;;;;Plot
7;10.1101_2025.09.29.679248.json;Figure 2. Block diagram of the experiment ' s technical setup .;;;;1;;;Diagram
8;10.1101_2023.09.13.557676.json;Fig 2. Effect of WSS on vessel pruning. (A) Actual pruning sites (pink) in the vascular network (gray) were shown in the left panel. Right panels showed 𝛼 distribution in the vascular network. The color on the vessel surface represented the value of a . (B) Pruning possibility (pp _ exp ) and 𝛼 were plotted.;;1;;1;;;Plot+Diagram
9;10.1101_2025.04.23.650164.json;Fig. S2 Results of Microscale Thermophoresis (MST) binding check assay. Binding check results for the interaction of spike (20 nM) and the indicated GAGs (15 µM) in 50 mM Tris buffer pH 7.4, supplemented with 150 mM NaCl, 10 mM MgCl 2 and 0.05% Tween-20. An MST on-time of 1.5 sec was used for analysis. (n = 4. A- G : Fnorm values of spike alone and in complex with the indicated GAGs ADP (complex). H : Signal-to-noise ratio obtained from the normalized fluorescence (Fnorm 0 / 00 ) evaluation shown above. The horizontal red line indicates the signal-to-noise ratio value designated as the cut-off between binding and nonbinding molecules following the manufacturer's instructions.;;1;;1;;;Plot+Diagram
10;10.1101_2024.06.14.599120.json;Figure 3. rad51-ED and rad51-KN display a strong mutator phenotype similar to a;;;;1;;;Diagram
11;10.1101_2025.07.14.664667.json;"Figure 3. Synteny comparison with Osmia bicornis . (A) A two-row parallel link plot giving an overview of syntenic regions between putative chromosomal scaffolds of O. bicornis (Obic; top of each row) and O. cornuta (Ocor: bottom of each row) based upon comparisons of predicted proteomes. The markers show the genomic coordinates for each putative chromosome in megabases (Mb). (B) Dot plots displaying a more detailed examination of synteny between the two species. The binned x-axis represents the position along identified chromosomes in O. bicornis with one chromosome per bin. Similarly, the y-axis represents the position along chromosomes in O. cornuta with one chromosome per bin. A dot represents a syntenic region that is shared between the two species at the respective chromosomal loci.";;1;;1;;;Plot+Diagram
