category;n_figures;plot_%;diagram_%;photo_%
neuroscience;12227;83.4;37.6;13.4
bioinformatics;4929;80.6;47.3;4.6
evolutionary biology;4118;85.8;31.6;3.0
ecology;2281;87.0;23.4;1.3
genomics;2145;87.0;36.0;8.3
cell biology;1901;92.1;40.2;56.9
biophysics;1696;75.0;48.3;11.6
microbiology;1650;90.1;32.3;20.7
systems biology;1467;84.7;48.9;8.5
cancer biology;1455;93.3;35.3;37.5
animal behavior and cognition;1455;83.6;42.5;3.9
genetics;1356;93.4;24.6;10.7
immunology;1302;90.1;41.9;24.7
bioengineering;1042;79.8;38.2;12.2
biochemistry;910;54.3;73.7;8.8
molecular biology;891;76.3;55.4;11.4
developmental biology;725;83.3;35.6;57.0
physiology;593;77.7;33.4;43.7
plant biology;350;89.4;21.1;6.0
pathology;349;46.7;34.1;57.9
paleontology;232;40.5;44.0;22.0
scientific communication;230;74.3;44.8;0.0
epidemiology;195;80.0;32.3;0.0
pharmacology;169;88.2;39.1;30.8
synthetic biology;152;61.2;57.9;17.1
zoology;77;92.2;7.8;13.0
